case_id,state,district,project_type,project_category,priority,land_area_acres,number_of_landowners,number_of_land_parcels,affected_villages,affected_households,private_land_pct,government_land_pct,current_stage,days_in_current_stage,survey_completed,ownership_verification_pending,notification_pending,objection_count,compensation_pending,approval_pending,pending_documents,missing_documents,dispute_count,court_case,total_processing_days,previous_stage_delay_days,district_historical_delay_rate,historical_average_delay_days,similar_case_average_delay_days,seasonal_factor,staff_workload_ratio,budget_release_delay_days,compensation_amount_lakh,delayed,expected_additional_delay_days
LA201802,Odisha,Ganjam,Railway,Major Infrastructure,Normal,44.65,27,18,2,22,48.9,51.1,Possession,41,0,0,0,1,0,0,3,1,1,1,171,13,0.344,54.2,24.1,0.88,0.81,4,205.2,1,75
LA201191,Andhra Pradesh,NTR,Irrigation,Major Infrastructure,Normal,68.6,27,15,11,12,80.5,19.5,Notification,21,1,1,0,0,1,0,2,1,1,0,125,2,0.689,99.8,56.7,0.95,0.73,5,253.79,0,59
LA201818,Odisha,Ganjam,Highway,Major Infrastructure,Normal,201.32,32,14,4,25,83.1,16.9,Award,70,0,0,0,3,0,0,0,0,0,0,164,2,0.787,100.6,36.9,0.93,0.77,2,299.45,1,51
LA200252,Maharashtra,Nashik,Highway,Major Infrastructure,Normal,33.44,37,26,7,23,64.3,35.7,Compensation,67,1,1,0,3,0,0,2,0,2,0,179,24,0.518,77.5,28.6,0.94,0.78,4,193.43,1,77
LA202506,Odisha,Sambalpur,Highway,Major Infrastructure,Normal,110.29,23,15,6,17,59.4,40.6,Compensation,3,1,0,0,0,0,0,1,1,2,0,148,15,0.835,110,45.2,0.9,0.8,2,,1,44
LA201118,Odisha,Khordha,Industrial,Development Project,High,28.29,37,20,11,33,45.9,54.1,Notification,42,0,1,1,1,1,0,2,2,2,0,129,4,0.447,72.3,23.5,0.96,0.46,5,131.51,1,77
LA201412,Andhra Pradesh,Visakhapatnam,Railway,Major Infrastructure,High,27.17,37,25,9,25,57.1,42.9,Survey,35,1,0,0,2,0,0,1,1,4,1,140,11,0.465,76.3,25.5,0.92,0.3,4,92.78,1,65
LA202114,Telangana,Nalgonda,Irrigation,Major Infrastructure,Critical,68.74,29,17,12,25,34.3,65.7,Award,9,1,0,0,0,0,0,1,1,3,0,80,15,0.483,70.1,20.3,1.06,0.48,4,297.38,1,36
LA200409,Karnataka,Dharwad,Public Infrastructure,Development Project,High,54.92,43,21,4,37,53.2,46.8,Ownership Verification,14,1,1,0,3,0,0,4,2,1,1,142,11,0.424,59,25.9,0.93,0.71,2,96.52,1,75
LA202580,Andhra Pradesh,NTR,Highway,Major Infrastructure,Normal,23.68,36,24,10,16,78.9,21.1,Approval,30,1,0,0,4,0,1,1,1,1,0,160,3,0.4,61.9,33.8,0.99,0.94,5,96.73,1,59
