land_area_acres,number_of_landowners,number_of_land_parcels,affected_villages,affected_households,private_land_pct,approval_pending,notification_pending,compensation_pending,compensation_amount_lakh,budget_release_delay_days,dispute_count,court_case,objection_count,survey_completed,ownership_verification_pending,pending_documents,missing_documents,stage_index,days_in_current_stage,previous_stage_delay_days,total_processing_days,staff_workload_ratio,seasonal_factor,district_historical_delay_rate,historical_average_delay_days,similar_case_average_delay_days,project_type_code,priority_code,project_category_code
186.67,36.0,18.0,10.0,24.0,97.4,0.0,0.0,0.0,342.9,2.0,2.0,0.0,4.0,0.0,1.0,3.0,2.0,2.0,6.0,10.0,169.0,0.71,1.13,0.354,47.2,58.5,1.0,0.0,0.0
51.33,24.0,19.0,1.0,10.0,33.2,1.0,1.0,1.0,208.76,5.0,0.0,0.0,2.0,1.0,1.0,2.0,1.0,4.0,29.0,13.0,83.0,0.98,0.98,0.31,43.1,21.3,1.0,1.0,0.0
103.35,40.0,28.0,6.0,30.0,42.7,0.0,0.0,0.0,347.22,3.0,1.0,0.0,2.0,0.0,1.0,2.0,0.0,3.0,23.0,3.0,111.0,0.61,1.05,0.514,76.6,25.4,4.0,2.0,1.0
97.49,32.0,12.0,2.0,18.0,79.4,0.0,1.0,0.0,303.02,9.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,2.0,42.0,12.0,125.0,0.68,0.91,0.304,56.7,26.5,0.0,0.0,0.0
170.04,36.0,14.0,12.0,24.0,31.7,0.0,1.0,0.0,402.29,7.0,2.0,0.0,5.0,0.0,0.0,2.0,2.0,2.0,28.0,11.0,53.0,0.74,1.17,0.221,50.0,16.4,3.0,1.0,1.0
52.67,28.0,16.0,3.0,17.0,98.2,0.0,0.0,0.0,167.94,5.0,3.0,0.0,1.0,1.0,1.0,4.0,1.0,5.0,12.0,14.0,82.0,0.8,0.92,0.586,80.4,82.4,4.0,0.0,1.0
90.81,21.0,8.0,10.0,18.0,71.3,0.0,0.0,0.0,217.5,6.0,0.0,0.0,7.0,1.0,1.0,0.0,0.0,3.0,21.0,4.0,135.0,0.79,0.97,0.571,69.6,39.9,2.0,1.0,0.0
39.41,27.0,12.0,1.0,22.0,43.1,1.0,0.0,0.0,70.61,4.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,83.0,31.0,182.0,0.57,1.14,0.562,74.9,66.7,3.0,1.0,1.0
35.75,33.0,18.0,1.0,26.0,53.8,0.0,1.0,1.0,40.76,3.0,3.0,1.0,6.0,1.0,0.0,3.0,1.0,6.0,28.0,46.0,170.0,0.43,0.9,0.39,60.1,17.2,0.0,0.0,0.0
90.02,30.0,16.0,6.0,12.0,67.8,1.0,0.0,0.0,222.58,5.0,2.0,0.0,3.0,1.0,0.0,2.0,1.0,2.0,22.0,2.0,102.0,0.66,0.97,0.102,62.7,28.5,1.0,1.0,0.0
24.27,29.0,13.0,11.0,22.0,35.2,0.0,0.0,1.0,78.63,3.0,3.0,0.0,3.0,1.0,0.0,3.0,3.0,2.0,42.0,21.0,146.0,0.65,0.96,0.572,74.1,21.5,2.0,0.0,0.0
67.86,37.0,19.0,8.0,22.0,55.3,0.0,0.0,1.0,201.94,4.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,6.0,18.0,14.0,131.0,0.52,1.09,0.356,56.4,57.3,3.0,2.0,1.0
247.39,28.0,17.0,12.0,29.0,41.8,0.0,0.0,0.0,197.36,5.0,1.0,0.0,2.0,1.0,1.0,3.0,1.0,3.0,6.0,14.0,113.0,0.8,1.08,0.565,72.9,24.8,3.0,0.0,1.0
37.85,36.0,27.0,7.0,31.0,67.0,0.0,0.0,0.0,103.7,4.0,2.0,0.0,2.0,1.0,0.0,2.0,0.0,0.0,15.0,6.0,130.0,0.38,0.91,0.365,47.0,28.1,0.0,2.0,0.0
26.51,32.0,13.0,1.0,20.0,82.3,0.0,0.0,0.0,122.02,5.0,3.0,0.0,3.0,1.0,0.0,0.0,0.0,7.0,34.0,8.0,90.0,0.81,1.03,0.183,45.1,21.6,2.0,0.0,0.0
83.13,33.0,19.0,11.0,22.0,54.0,1.0,0.0,0.0,122.16,3.0,1.0,0.0,2.0,1.0,0.0,2.0,1.0,4.0,30.0,23.0,135.0,0.85,1.06,0.347,52.7,17.6,1.0,0.0,0.0
38.86,31.0,24.0,11.0,17.0,55.0,0.0,0.0,0.0,155.84,5.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,6.0,6.0,22.0,133.0,0.87,1.1,0.319,47.6,73.6,1.0,1.0,0.0
80.18,28.0,13.0,6.0,19.0,51.8,0.0,1.0,1.0,339.11,2.0,1.0,0.0,6.0,1.0,0.0,3.0,1.0,6.0,18.0,11.0,150.0,0.6,0.97,0.401,50.0,39.9,2.0,0.0,0.0
